true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453783,168,16,4,74,11,3,3,0,3,199,0,0,0,1
Bot,9,382,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,2,0,25603,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2049,7,3,0,0,0,0,0,0,0,0,0
DoS Hulk,1,0,0,4,46017,0,0,0,0,0,3,0,0,0,0
DoS Slowhttptest,2,0,0,0,0,1091,4,0,0,0,1,0,1,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,0,0,1
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
PortScan,2,0,0,0,5,0,0,0,0,0,31752,0,2,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,210,2,89
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,1,0,0,0,0,0,0,0,0,0,0,0,63,1,65
