true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453791,156,19,4,84,7,3,0,3,0,197,0,0,0,1
Bot,4,387,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,2,0,25603,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,2050,6,3,0,0,0,0,0,0,0,0,0
DoS Hulk,1,0,0,5,46019,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,3,0,0,0,0,1090,5,0,0,0,0,0,1,0,1
DoS slowloris,0,0,0,0,0,2,1156,0,0,0,0,0,1,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,1,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,1,0,0,0,7,0,0,0,0,0,31751,0,2,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,262,0,37
Web Attack - Sql Injection,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,1,0,92,0,37
