src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.20,192.168.50.10,80,42444,6,2026-09-11 10:06:27,0.023754358291625977,1131792.3081709875,841.9507592865817,420.97537964329086,420.97537964329086,10,10,26225,660,10202,66,2622.5,2824.010809115291,66,66,66.0,0.0,10202,66,1344.25,2370.9579472230207,5621441.5875,200,200,20,9,0.0012502293837697881,0.006631374359130859,0.0,0.0018338438419655643,0.023550987243652344,0.0066602230072021484,0.0,0.0026167763604058158,0.0023371438928762663,0.02368450164794922,0.006682634353637695,0.0006146430969238281,0.0026316112942165798,0.0020836347971854943,4,0,0,0,2,0,0,4,20,0,0,1.0,1344.25,46,248,0,0,0,0,0,0,0,0,24615.0,8.0,0,0,1340310.7006452116,0,2622.5,66.0,0,10,10,26225,660
192.168.50.10,192.168.50.20,39268,53,17,2026-09-11 10:06:27,0.0,0,0,0,0,2,0,188,0,94,94,94.0,0.0,0,0,0,0.0,94,94,94.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,0,0,2,0,188,0
192.168.50.10,192.168.50.20,59994,21,6,2026-09-11 10:06:28,0.05046725273132324,40481.69633636471,515.1855627731192,257.5927813865596,257.5927813865596,13,13,935,1108,82,66,71.92307692307692,4.968540080601583,115,66,85.23076923076923,15.232323153053615,115,66,78.57692307692308,13.138824080748325,172.6286982248521,260,260,20,7,0.0020186901092529297,0.0076465606689453125,0.0,0.0018239501697471822,0.048821449279785156,0.009305000305175781,0.0,0.004068454106648763,0.002700268152092747,0.04817008972167969,0.007705211639404297,0.0012466907501220703,0.004014174143473308,0.002021858346428903,7,9,0,0,2,3,0,16,24,0,0,1.0,78.57692307692308,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92307692307692,85.23076923076923,0,13,13,935,1108
192.168.50.10,192.168.50.20,36346,48165,6,2026-09-11 10:06:28,0.015111684799194336,32160.543742012844,463.217708218292,264.6958332675954,198.52187495069657,4,3,280,206,74,66,70.0,4.0,74,66,68.66666666666667,3.7712361663282534,74,66,69.42857142857143,3.958973274443148,15.673469387755102,80,60,20,0,0.002518614133199056,0.009807586669921875,0.0,0.003404091811543298,0.013262271881103516,0.01030874252319336,0.0,0.004420757293701172,0.0043345212318507895,0.012337684631347656,0.009987115859985352,0.0023505687713623047,0.006168842315673828,0.0038182735443115234,0,0,0,0,2,3,0,0,5,0,0,0.75,69.42857142857143,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,68.66666666666667,0,4,3,280,206
192.168.50.10,192.168.50.20,47876,22,6,2026-09-11 10:06:28,0.17902684211730957,45406.5988309919,229.01593702431637,117.30084579294254,111.71509123137385,21,20,4123,4006,1810,66,196.33333333333334,370.9744354346156,1042,66,200.3,264.89037355102204,1810,66,198.26829268292684,323.6062817375644,104721.0255800119,420,400,20,13,0.004475671052932739,0.03832554817199707,0.0,0.007601734202717813,0.17902684211730957,0.03918933868408203,0.0,0.008951342105865479,0.011063204461543186,0.17706823348999023,0.04995155334472656,4.76837158203125e-07,0.009319380709999487,0.012366061155976948,13,13,0,0,2,3,0,26,39,0,0,0.9523809523809523,198.26829268292684,64240,5792,0,0,0,0,0,0,0,0,0,0,248.0,4.0,0,37774.172640447396,196.33333333333334,200.3,0,21,20,4123,4006
192.168.50.10,192.168.50.20,42448,80,6,2026-09-11 10:06:28,0.054123640060424805,34993.950848196786,203.23836289871417,129.3335036628181,73.90485923589605,7,4,555,1339,143,66,79.28571428571429,26.244532958391193,1133,66,334.75,460.8814245551669,1133,66,172.1818181818182,304.5995338687468,92780.87603305782,140,80,20,1,0.00541236400604248,0.040082693099975586,0.0,0.011711697425624595,0.054123640060424805,0.0462038516998291,0.0,0.009020606676737467,0.016689396868959445,0.05051374435424805,0.040082693099975586,0.0037996768951416016,0.016837914784749348,0.016477144105798994,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,172.1818181818182,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28571428571429,334.75,0,7,4,555,1339
192.168.50.10,192.168.50.20,42456,80,6,2026-09-11 10:06:28,0.036458730697631836,34504.766785029984,301.7109973253814,191.99790738887907,109.71308993650233,7,4,560,698,148,66,80.0,27.97958439393164,492,66,174.5,183.3378029758184,492,66,114.36363636363636,121.60388206069491,14787.5041322314,140,80,20,1,0.0036458730697631835,0.027677297592163086,0.0,0.008066851399226018,0.036458730697631836,0.02980637550354004,0.0,0.006076455116271973,0.010660736439303837,0.03378868103027344,0.027677297592163086,0.0024881362915039062,0.011262893676757812,0.011615983559644497,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,114.36363636363636,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,174.5,0,7,4,560,698
192.168.50.10,192.168.50.20,42470,80,6,2026-09-11 10:06:28,0.1177666187286377,230905.83981747105,314.1807109640874,169.82741133193912,144.35329963214826,20,17,1424,25769,154,66,71.2,19.14575671003891,5858,66,1515.8235294117646,1825.6585672442286,5858,66,734.9459459459459,1431.7451824079692,2049894.2673484287,400,340,20,1,0.0032712949646843802,0.0779273509979248,0.0,0.012700094283132188,0.1177666187286377,0.07976078987121582,0.0,0.006198243090980931,0.017403226392335533,0.1152200698852539,0.0779273509979248,0.001093149185180664,0.007201254367828369,0.01832464461960489,1,8,0,0,2,3,0,9,35,0,0,0.85,734.9459459459459,64240,5792,0,0,0,0,0,0,0,0,0,0,24639.0,14.0,0,819535.7355749406,71.2,1515.8235294117646,0,20,17,1424,25769
192.168.50.10,192.168.50.20,36219,53,17,2026-09-11 10:06:29,0.0,0,0,0,0,2,0,188,0,94,94,94.0,0.0,0,0,0,0.0,94,94,94.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,94.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,0,0,2,0,188,0
192.168.50.10,192.168.50.20,33866,21,6,2026-09-11 10:06:29,0.05604195594787598,36454.83041134704,463.9381256461199,231.96906282305994,231.96906282305994,13,13,935,1108,82,66,71.92307692307692,4.968540080601583,115,66,85.23076923076923,15.232323153053615,115,66,78.57692307692308,13.138824080748325,172.6286982248521,260,260,20,7,0.0022416782379150392,0.010673761367797852,0.0,0.0022978306291815266,0.05423569679260254,0.01086735725402832,0.0,0.004519641399383545,0.003062960624837315,0.052642107009887695,0.010866880416870117,0.0010726451873779297,0.004386842250823975,0.0025577334725139975,7,9,0,0,2,3,0,16,24,0,0,1.0,78.57692307692308,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92307692307692,85.23076923076923,0,13,13,935,1108
