src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.10,192.168.50.20,40180,8080,6,2026-09-11 10:21:37,0.0017473697662353516,100722.81402647018,1716.866148178469,1144.5774321189795,572.2887160594897,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.0008736848831176758,0.0017473697662353516,0.0,0.0008736848831176758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
192.168.50.10,192.168.50.20,40180,3389,6,2026-09-11 10:21:37,0.0015034675598144531,117062.71868062163,1995.3872502378688,1330.2581668252458,665.1290834126229,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.0007517337799072266,0.0015034675598144531,0.0,0.0007517337799072266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
192.168.50.10,192.168.50.20,40180,23,6,2026-09-11 10:21:37,0.0014691352844238281,156554.6770529049,2722.690035702694,2042.0175267770205,680.6725089256735,3,1,170,60,58,54,56.666666666666664,1.8856180831641267,60,60,60.0,0.0,60,54,57.5,2.179449471770337,4.75,60,20,20,0,0.0004897117614746094,0.0013453960418701172,0.0,0.0006071652937072546,0.0014691352844238281,0.0014691352844238281,0.0,0.0007345676422119141,0.0007345676422119141,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,57.5,1024,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.666666666666664,60.0,0,3,1,170,60
192.168.50.10,192.168.50.20,40180,995,6,2026-09-11 10:21:37,0.001191854476928711,147669.03460692137,2517.0858171634327,1678.0572114422885,839.0286057211442,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.0005959272384643555,0.001191854476928711,0.0,0.0005959272384643555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
192.168.50.10,192.168.50.20,40180,256,6,2026-09-11 10:21:37,0.0029823780059814453,59013.31073626989,1005.908705731873,670.6058038212487,335.30290191062437,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.0014911890029907227,0.0029823780059814453,0.0,0.0014911890029907227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
192.168.50.10,192.168.50.20,40180,1025,6,2026-09-11 10:21:37,0.0028030872344970703,62787.91392361997,1070.2485327889767,713.4990218593178,356.7495109296589,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.0014015436172485352,0.0028030872344970703,0.0,0.0014015436172485352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
192.168.50.10,192.168.50.20,40180,21,6,2026-09-11 10:21:37,0.002600431442260742,88446.86164848262,1538.2062895388283,1153.6547171541213,384.5515723847071,3,1,170,60,58,54,56.666666666666664,1.8856180831641267,60,60,60.0,0.0,60,54,57.5,2.179449471770337,4.75,60,20,20,0,0.0008668104807535807,0.0025682449340820312,0.0,0.0012031675948808343,0.002600431442260742,0.002600431442260742,0.0,0.001300215721130371,0.001300215721130371,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,57.5,1024,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.666666666666664,60.0,0,3,1,170,60
192.168.50.10,192.168.50.20,40180,3306,6,2026-09-11 10:21:37,0.0025374889373779297,90640.78925115099,1576.3615521939303,1182.2711641454478,394.09038804848257,3,1,170,60,58,54,56.666666666666664,1.8856180831641267,60,60,60.0,0.0,60,54,57.5,2.179449471770337,4.75,60,20,20,0,0.0008458296457926432,0.0024056434631347656,0.0,0.0011042675297372928,0.0025374889373779297,0.0025374889373779297,0.0,0.0012687444686889648,0.0012687444686889648,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,57.5,1024,5840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.666666666666664,60.0,0,3,1,170,60
192.168.50.10,192.168.50.20,40180,8888,6,2026-09-11 10:21:37,0.002251863479614258,78157.49115934357,1332.2299629433562,888.1533086289041,444.07665431445207,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.001125931739807129,0.002251863479614258,0.0,0.001125931739807129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
192.168.50.10,192.168.50.20,40180,587,6,2026-09-11 10:21:37,0.002099275588989258,83838.444520159,1429.064395229983,952.7095968199886,476.3547984099943,2,1,116,60,58,58,58.0,0.0,60,60,60.0,0.0,60,58,58.666666666666664,0.9428090415820634,0.888888888888889,40,20,20,0,0.001049637794494629,0.002099275588989258,0.0,0.001049637794494629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0.5,58.666666666666664,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,60.0,0,2,1,116,60
