src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.10,192.168.50.20,49062,22,6,2026-09-11 11:16:42,2.705801486968994,2468.3998557047635,10.348135343574395,5.174067671787197,5.174067671787197,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.10021486988774052,2.539278507232666,0.0,0.4784461887175832,2.705801486968994,2.5770046710968018,0.0,0.20813857592069185,0.6839419121593235,2.703183650970459,2.539278507232666,0.0014908313751220703,0.20793720392080453,0.673179830938361,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,49074,22,6,2026-09-11 11:16:45,2.6510848999023438,2519.34594785932,10.561713810459793,5.280856905229896,5.280856905229896,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.09818832962601273,2.488823413848877,0.0,0.4689383519233648,2.6510848999023438,2.5253686904907227,0.0,0.20392960768479568,0.6702268436242863,2.6476001739501953,2.488823413848877,0.0008978843688964844,0.2036615518423227,0.6598329331092313,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,49082,22,6,2026-09-11 11:16:48,2.389068841934204,2795.649871099002,11.720047370979497,5.8600236854897485,5.8600236854897485,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.0884840311827483,2.22835636138916,0.0,0.41978250432248954,2.389068841934204,2.2687625885009766,0.0,0.18377452630263108,0.6019885605449498,2.386251211166382,2.22835636138916,0.0006241798400878906,0.18355778547433707,0.5904847139313245,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,41396,22,6,2026-09-11 11:16:50,2.662848949432373,2508.2158721108576,10.515053813310976,5.257526906655488,5.257526906655488,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.09862403516416196,2.4996156692504883,0.0,0.4709910127567968,2.662848949432373,2.5442028045654297,0.0,0.20483453457172102,0.6754083178805182,2.661170482635498,2.4996156692504883,1.6689300537109375e-06,0.20470542174119216,0.6626634141531063,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,41410,22,6,2026-09-11 11:16:53,2.099353075027466,3181.4562683376253,13.33744205920849,6.668721029604245,6.668721029604245,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.07775381759360984,1.9301016330718994,0.0,0.3634497652886866,2.099353075027466,1.9677996635437012,0.0,0.16148869807903582,0.5216042209645634,2.096216917037964,1.9301016330718994,0.0010437965393066406,0.16124745515676644,0.5109025819904326,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,41414,22,6,2026-09-11 11:16:55,2.6681621074676514,2503.221217821367,10.494115002095866,5.621847322551356,4.872267679544509,15,13,3455,3224,1810,66,230.33333333333334,433.7230555191745,1042,66,248.0,317.7400969830047,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,300,260,20,8,0.0988208187950982,2.524310350418091,0.0,0.4757911750740755,2.6681621074676514,2.5660831928253174,0.0,0.19058300767626082,0.658961369202258,2.666508436203003,2.524310350418091,0.002145528793334961,0.22220903635025024,0.6942804535904399,8,7,0,0,2,3,0,15,26,0,0,0.8666666666666667,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.33333333333334,248.0,0,15,13,3455,3224
192.168.50.10,192.168.50.20,41424,22,6,2026-09-11 11:16:58,1.7726845741271973,3767.7317766972087,15.79525224547415,7.897626122737075,7.897626122737075,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.06565498422693324,1.6123154163360596,0.0,0.3035214735730926,1.7726845741271973,1.6518206596374512,0.0,0.13636035185593826,0.4376515426425636,1.7706027030944824,1.6123154163360596,0.0011832714080810547,0.1362002079303448,0.42641363538479277,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,45338,22,6,2026-09-11 11:16:59,2.0754854679107666,3218.042286137152,13.490819585542784,6.745409792771392,6.745409792771392,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.0768698321448432,1.8867192268371582,0.0,0.35513569214654367,2.0754854679107666,1.9292945861816406,0.0,0.1596527283008282,0.5110264838835304,2.072671890258789,1.8867192268371582,0.00101470947265625,0.1594362992506761,0.4989014210594219,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,45346,22,6,2026-09-11 11:17:01,2.3217580318450928,2876.699427068299,12.059826913896147,6.029913456948074,6.029913456948074,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.08599103821648492,2.1486167907714844,0.0,0.4046738025816617,2.3217580318450928,2.1902596950531006,0.0,0.17859677168039176,0.5809039521870225,2.3197953701019287,2.1486167907714844,0.0010161399841308594,0.17844579770014837,0.5690097655459311,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
192.168.50.10,192.168.50.20,45356,22,6,2026-09-11 11:17:04,2.2695822715759277,2942.832292817616,12.337072046547872,6.168536023273936,6.168536023273936,14,14,3389,3290,1810,66,242.07142857142858,446.6383107305563,1042,66,235.0,309.7489767076375,1810,66,238.53571428571428,384.3534907703414,147727.60586734692,280,280,20,8,0.08405860265096028,2.102541208267212,0.0,0.39598981984061915,2.2695822715759277,2.1431169509887695,0.0,0.17458325165968674,0.568398861519163,2.2669119834899902,2.102541208267212,0.0009706020355224609,0.1743778448838454,0.5568228064191023,8,7,0,0,2,3,0,15,26,0,0,1.0,238.53571428571428,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.07142857142858,235.0,0,14,14,3389,3290
