run_id,scenario,role,packet_capture_available,acceptance_status,total_flows,valid_flows,attack_flows,benign_flows,unlabelled_flows,flow_csv_sha256,pcap_sha256
lab-v1-benign-001,benign,adaptation,False,ACCEPTED,5407,5407,0,5407,0,,
lab-v1-portscan-001,portscan,adaptation,False,ACCEPTED,2178,2178,1362,0,816,,
lab-v1-ssh-bruteforce-001,ssh,adaptation,False,ACCEPTED,70,70,69,0,1,,
adapt-v1-benign-002,benign,adaptation,True,ACCEPTED,775,775,0,775,0,c30d3bfd25cc9e4ca4b1e16e9ec00615287e53938f46c5ac92bbe1d4befd737d,e20919dc3d85e52f6e96b3986da1afc3c347c8a6d6fd997fd040de1d09ed4474
adapt-v1-benign-003,benign,adaptation,True,ACCEPTED,806,806,0,806,0,36f890d598d26cd829b046b51b376b0bc9b41357f029007621e6a762f859d6c6,86a17b55c85feef5fe3b9131a4801aaf516fdc3a3402aabdea0ca92aa42dc4aa
adapt-v1-benign-004,benign,adaptation,True,ACCEPTED,770,770,0,770,0,66a5827e24c975a1d9dd88a0cf8f89bd02cdd6047a99cc97a78f4549fcd3f4fc,f3516445351513f621ab5aaa5190e8f2a912051a35258a82bbb70069bbbb1b37
adapt-v1-portscan-002,portscan,adaptation,True,ACCEPTED,8878,8878,7531,0,1347,4ead945e357513662bc1522c39cd09b4a93c4d9e950b8ce3d836d6ea1dcbab0e,a57ec7e0a6233c9ef08145442c47709d18a73897e70578c84b7f6638c64bfc48
adapt-v1-portscan-003,portscan,adaptation,True,ACCEPTED,8917,8917,7711,0,1206,c8d3ec7d4f7285b888f79dbc04e3c7f42968072fbdad3f6513277f0b98ad00f1,f85611bf2515514c47e3fbf45166601fbb6582aa31db2f5337c7c58abefdd161
adapt-v1-portscan-004,portscan,adaptation,True,ACCEPTED,8068,8068,6917,0,1151,5b2a416f9631d38e0015c626a0777e5b1f2dbebb17b94897c771c47dbf0817d5,ba1d92cdf1edd63e78ac6a12aed2cc898de0e7a53ccaa005acf84e2fa14aad6c
adapt-v1-ssh-002,ssh,adaptation,True,ACCEPTED,72,72,72,0,0,5af8eb54c6b1d6b66111486e11d2767f9a5314935ed4a973fb1da8b149df4e72,ca9932ba6044815bd7407ae7b6288125474b378eea20fcc48fc9b4e3851cf22f
adapt-v1-ssh-003,ssh,adaptation,True,ACCEPTED,72,72,72,0,0,1e4a8bf58cb920969ef2d835b692f0dc693825c7ba5863923399624b724a75f9,1a7f5ae3282931fdb0cd752d8d16d4cc814310861a4e8e02602686ca27ea1268
adapt-v1-ssh-004,ssh,adaptation,True,ACCEPTED,72,72,72,0,0,274db65a1fbb005bd2baafbafda825dc542d4a15a559c256266a0d9419134d10,fe0b269c5150008e5957cf856010481f7e8a4f19a6b9808670e36b5a24ba88ed
