run_id,scenario,model,quantity,count,n,rate,wilson_low,wilson_high
eval-v1-benign-001,benign,model_a,benign_false_positive_rate,0,320,0.0,0.0,0.011862158831309737
eval-v1-benign-001,benign,model_b,benign_false_positive_rate,26,320,0.08125,0.056048330024884685,0.11638622799633722
eval-v1-benign-002,benign,model_a,benign_false_positive_rate,0,320,0.0,0.0,0.011862158831309737
eval-v1-benign-002,benign,model_b,benign_false_positive_rate,36,320,0.1125,0.08237640468270586,0.15181676841155917
eval-v1-benign-003,benign,model_a,benign_false_positive_rate,0,320,0.0,0.0,0.011862158831309737
eval-v1-benign-003,benign,model_b,benign_false_positive_rate,23,320,0.071875,0.048368462772088436,0.10553851072722052
eval-v1-portscan-001,portscan,model_a,attack_detection_rate,0,393210,0.0,0.0,9.769388601485491e-06
eval-v1-portscan-001,portscan,model_b,attack_detection_rate,393210,393210,1.0,0.9999902306113987,1.0
eval-v1-portscan-002,portscan,model_a,attack_detection_rate,0,393210,0.0,0.0,9.769388601485491e-06
eval-v1-portscan-002,portscan,model_b,attack_detection_rate,393210,393210,1.0,0.9999902306113987,1.0
eval-v1-portscan-003,portscan,model_a,attack_detection_rate,0,393210,0.0,0.0,9.769388601485491e-06
eval-v1-portscan-003,portscan,model_b,attack_detection_rate,393210,393210,1.0,0.9999902306113987,1.0
eval-v1-ssh-001,ssh,model_a,attack_detection_rate,0,60,0.0,0.0,0.06017185214208986
eval-v1-ssh-001,ssh,model_b,attack_detection_rate,0,60,0.0,0.0,0.06017185214208986
eval-v1-ssh-002,ssh,model_a,attack_detection_rate,0,60,0.0,0.0,0.06017185214208986
eval-v1-ssh-002,ssh,model_b,attack_detection_rate,0,60,0.0,0.0,0.06017185214208986
eval-v1-ssh-003,ssh,model_a,attack_detection_rate,0,60,0.0,0.0,0.06017185214208986
eval-v1-ssh-003,ssh,model_b,attack_detection_rate,0,60,0.0,0.0,0.06017185214208986
