src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
0.0.0.0,255.255.255.255,68,67,17,2026-09-07 18:22:04,209.90152049064636,4.888006516587957,0.014292416715169464,0.014292416715169464,0.0,3,0,1026,0,342,342,342.0,0.0,0,0,0,0.0,342,342,342.0,0.0,0.0,60,0,20,3,104.95076024532318,209.90152049064636,0.0,104.95076024532318,209.90152049064636,209.90152049064636,0.0,104.95076024532318,104.95076024532318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,342.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0,0,0,3,0,1026,0
192.168.50.10,192.168.50.20,41820,80,6,2026-09-07 18:22:04,222.2279314994812,120.29540940069637,0.13499653170317177,0.07649803463179734,0.05849849707137444,17,13,1234,25499,154,66,72.58823529411765,20.577139867365126,8754,66,1961.4615384615386,2722.6535024998234,8754,66,891.1,2022.0225081173885,4088575.0233333344,340,260,20,1,7.663032120671765,222.13913774490356,0.0,40.53217544609697,222.2279314994812,222.13913774490356,0.0,13.889245718717575,53.7698927087909,0.08707785606384277,0.05733299255371094,2.384185791015625e-07,0.007256488005320231,0.015256154731211325,1,6,0,0,2,4,0,7,27,0,0,0.7647058823529411,891.1,64240,5792,0,0,0,0,0,0,0,0,0,0,24633.0,10.0,0,1306239.1325983615,72.58823529411765,1961.4615384615386,0,17,13,1234,25499
192.168.50.20,192.168.50.10,53,36701,17,2026-09-07 18:22:03,0.0,0,0,0,0,2,0,182,0,91,91,91.0,0.0,0,0,0,0.0,91,91,91.0,0.0,0.0,40,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0,0,2,0,182,0
192.168.50.10,192.168.50.20,41792,60279,6,2026-09-07 18:22:03,0.011697530746459961,41547.229969630884,598.4168925667,341.95251003811427,256.4643825285857,4,3,280,206,74,66,70.0,4.0,74,66,68.66666666666667,3.7712361663282534,74,66,69.42857142857143,3.958973274443148,15.673469387755102,80,60,20,0,0.001949588457743327,0.006838321685791016,0.0,0.0022921417798146128,0.00998234748840332,0.008397102355957031,0.0,0.003327449162801107,0.0036427359824398662,0.010220050811767578,0.006946086883544922,0.0032739639282226562,0.005110025405883789,0.0018360614776611328,0,0,0,0,2,3,0,0,5,0,0,0.75,69.42857142857143,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,68.66666666666667,0,4,3,280,206
192.168.50.10,192.168.50.20,54714,21,6,2026-09-07 18:22:03,0.03538823127746582,59596.08389196181,762.9655121303788,395.6117470305668,367.35376509981205,14,13,1001,1108,82,66,71.5,5.024937810560445,115,66,85.23076923076923,15.232323153053615,115,66,78.11111111111111,13.110169457710171,171.8765432098766,280,260,20,7,0.00136108581836407,0.0063800811767578125,0.0,0.001592015927775135,0.03399825096130371,0.009199142456054688,0.0,0.002615250073946439,0.0024068041724414706,0.03383231163024902,0.0063800811767578125,4.76837158203125e-07,0.002819359302520752,0.001903662395558831,7,9,0,0,2,3,0,16,25,0,0,0.9285714285714286,78.11111111111111,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.5,85.23076923076923,0,14,13,1001,1108
192.168.50.10,192.168.50.20,51602,22,6,2026-09-07 18:22:03,0.1641085147857666,49290.556377039204,249.83469050050775,127.96410976855276,121.870580731955,21,20,4083,4006,1514,66,194.42857142857142,311.17328986680496,1042,66,200.3,265.25254004438864,1514,66,197.29268292682926,289.6986023272513,83925.28019036289,420,400,20,13,0.004102712869644165,0.03519082069396973,0.0,0.0070499147980609515,0.1641085147857666,0.03530454635620117,0.0,0.00820542573928833,0.00916069365482455,0.16312646865844727,0.03970146179199219,0.0005638599395751953,0.008585603613602487,0.010723870113379837,12,12,0,0,2,3,0,24,39,0,0,0.9523809523809523,197.29268292682926,64240,5792,0,0,0,0,0,0,0,0,0,0,312.0,4.0,0,90474.47787610619,194.42857142857142,200.3,0,21,20,4083,4006
192.168.50.10,192.168.50.20,41814,80,6,2026-09-07 18:22:03,0.023793458938598633,79601.70922973637,462.3119332244456,294.19850296101083,168.11343026343476,7,4,555,1339,143,66,79.28571428571429,26.244532958391193,1133,66,334.75,460.8814245551669,1133,66,172.1818181818182,304.5995338687468,92780.87603305782,140,80,20,1,0.0023793458938598635,0.01565384864807129,0.0,0.0044964949898796845,0.023793458938598633,0.01682448387145996,0.0,0.0039655764897664385,0.005795420821828064,0.021762609481811523,0.01565384864807129,0.002675771713256836,0.007254203160603841,0.005947485619251267,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,172.1818181818182,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28571428571429,334.75,0,7,4,555,1339
192.168.50.10,192.168.50.20,41816,80,6,2026-09-07 18:22:03,0.020830154418945312,60393.21527332662,528.0805787015842,336.0512773555535,192.0293013460306,7,4,560,698,148,66,80.0,27.97958439393164,492,66,174.5,183.3378029758184,492,66,114.36363636363636,121.60388206069491,14787.5041322314,140,80,20,1,0.002083015441894531,0.017841815948486328,0.0,0.005266326750228086,0.020830154418945312,0.018507719039916992,0.0,0.0034716924031575522,0.006738137560448074,0.019669532775878906,0.017841815948486328,0.0007653236389160156,0.006556510925292969,0.007980837244266376,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,114.36363636363636,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,174.5,0,7,4,560,698
192.168.50.10,192.168.50.20,41828,80,6,2026-09-07 18:22:04,0.10144925117492676,18285.00435948476,108.42859727996353,69.00001645088588,39.428580829077646,7,4,561,1294,149,66,80.14285714285714,28.326809973332793,1088,66,323.5,441.39636382734284,1088,66,168.63636363636363,291.65492459638375,85062.5950413223,140,80,20,1,0.010144925117492676,0.0842747688293457,0.0,0.024785857004026583,0.10144925117492676,0.0842747688293457,0.0,0.01690820852915446,0.030230604694834066,0.09469032287597656,0.08610963821411133,0.001605987548828125,0.03156344095865885,0.0386322101090895,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,168.63636363636363,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14285714285714,323.5,0,7,4,561,1294
192.168.50.10,192.168.50.20,50300,53,17,2026-09-07 18:22:04,0.02909994125366211,9278.369246399136,103.09299162665705,68.72866108443803,34.364330542219015,2,1,188,82,94,94,94.0,0.0,82,82,82.0,0.0,94,82,90.0,5.656854249492381,32.0,40,20,20,2,0.014549970626831055,0.02909994125366211,0.0,0.014549970626831055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,82.0,0,2,1,188,82
