src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.10,192.168.50.20,40792,80,6,2026-09-07 18:17:07,0.05064654350280762,37396.43160238576,217.19152461786874,138.2127883931892,78.97873622467954,7,4,555,1339,143,66,79.28571428571429,26.244532958391193,1133,66,334.75,460.8814245551669,1133,66,172.1818181818182,304.5995338687468,92780.87603305782,140,80,20,1,0.005064654350280762,0.024338483810424805,0.0,0.007498156707526777,0.05064654350280762,0.026262521743774414,0.0,0.00844109058380127,0.00899454978377361,0.04881119728088379,0.024338483810424805,0.010982275009155273,0.01627039909362793,0.005796160466132258,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,172.1818181818182,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28571428571429,334.75,0,7,4,555,1339
192.168.50.10,192.168.50.20,40806,80,6,2026-09-07 18:17:07,0.03364753723144531,37387.58029590159,326.9184286605068,208.03900005668612,118.87942860382064,7,4,560,698,148,66,80.0,27.97958439393164,492,66,174.5,183.3378029758184,492,66,114.36363636363636,121.60388206069491,14787.5041322314,140,80,20,1,0.003364753723144531,0.02291107177734375,0.0,0.00656352368700257,0.03364753723144531,0.024112462997436523,0.0,0.005607922871907552,0.008384539357598982,0.030886173248291016,0.02291107177734375,0.0022237300872802734,0.010295391082763672,0.009036135339833934,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,114.36363636363636,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,174.5,0,7,4,560,698
192.168.50.10,192.168.50.20,45678,80,6,2026-09-07 18:17:08,0.148392915725708,193001.1271760349,390.85423799616007,202.1659851704276,188.68825282573243,30,28,2084,26556,154,66,69.46666666666667,15.823470612423252,8754,66,948.4285714285714,1921.9088247396767,8754,66,493.7931034482759,1405.7827217042088,1976225.060642093,600,560,20,1,0.00260338448641593,0.06795454025268555,0.0,0.010331635006435469,0.148392915725708,0.0704488754272461,0.0,0.005116997093989931,0.014499382836988267,0.14670538902282715,0.06795454025268555,2.384185791015625e-07,0.005433532926771376,0.014729478334298524,1,19,0,0,2,3,0,20,56,0,0,0.9333333333333333,493.7931034482759,64240,5792,0,0,0,0,0,0,0,0,0,0,24700.0,24.0,0,1063069.4673329708,69.46666666666667,948.4285714285714,0,30,28,2084,26556
192.168.50.10,192.168.50.20,45688,80,6,2026-09-07 18:17:08,0.02197551727294922,84412.11994965933,500.55704552358634,318.53630169682765,182.02074382675866,7,4,561,1294,149,66,80.14285714285714,28.326809973332793,1088,66,323.5,441.39636382734284,1088,66,168.63636363636363,291.65492459638375,85062.5950413223,140,80,20,1,0.002197551727294922,0.012838602066040039,0.0,0.003705638735508096,0.02197551727294922,0.014239788055419922,0.0,0.003662586212158203,0.0048806599330806595,0.018213510513305664,0.012838602066040039,0.0021598339080810547,0.006071170171101888,0.004804649417446436,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,168.63636363636363,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.14285714285714,323.5,0,7,4,561,1294
192.168.50.10,192.168.50.20,56081,53,17,2026-09-07 18:17:08,0.044402360916137695,6080.757744164694,67.56397493516326,45.042649956775506,22.521324978387753,2,1,188,82,94,94,94.0,0.0,82,82,82.0,0.0,94,82,90.0,5.656854249492381,32.0,40,20,20,2,0.022201180458068848,0.044402360916137695,0.0,0.022201180458068848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,90.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,82.0,0,2,1,188,82
192.168.50.10,192.168.50.20,52443,53,17,2026-09-07 18:17:09,0.04962301254272461,5985.126351292917,60.455821730231484,40.30388115348766,20.15194057674383,2,1,206,91,103,103,103.0,0.0,91,91,91.0,0.0,103,91,99.0,5.656854249492381,32.0,40,20,20,2,0.024811506271362305,0.04962301254272461,0.0,0.024811506271362305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,91.0,0,2,1,206,91
192.168.50.10,192.168.50.20,38402,21,6,2026-09-07 18:17:09,0.028197050094604492,72454.3877159309,922.0822714704863,461.04113573524313,461.04113573524313,13,13,935,1108,82,66,71.92307692307692,4.968540080601583,115,66,85.23076923076923,15.232323153053615,115,66,78.57692307692308,13.138824080748325,172.6286982248521,260,260,20,7,0.0011278820037841798,0.004665374755859375,0.0,0.0011372520673008835,0.027388811111450195,0.005411624908447266,0.0,0.002282400925954183,0.0016491406867842374,0.027179956436157227,0.005021572113037109,4.76837158203125e-07,0.002264996369679769,0.0014246075426717288,7,9,0,0,2,3,0,16,24,0,0,1.0,78.57692307692308,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92307692307692,85.23076923076923,0,13,13,935,1108
192.168.50.10,192.168.50.20,50186,40130,6,2026-09-07 18:17:09,0.008719444274902344,63306.786831455756,917.4896642239966,573.4310401399978,344.05862408399867,5,3,346,206,74,66,69.2,3.9191835884530852,74,66,68.66666666666667,3.7712361663282534,74,66,69.0,3.872983346207417,15.0,100,60,20,0,0.0012456348964146205,0.0060575008392333984,0.0,0.0020119809115878686,0.00786900520324707,0.006234884262084961,0.0,0.0019672513008117676,0.0025132629208473294,0.007431745529174805,0.006105184555053711,0.0013265609741210938,0.0037158727645874023,0.0023893117904663086,0,0,0,0,2,3,0,0,6,0,0,0.6,69.0,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.2,68.66666666666667,0,5,3,346,206
192.168.50.10,192.168.50.20,54826,22,6,2026-09-07 18:17:09,0.16929030418395996,48171.689686010235,248.09453915541755,124.04726957770878,124.04726957770878,21,21,4083,4072,1514,66,194.42857142857142,311.17328986680496,1042,66,193.9047619047619,260.08385181960887,1514,66,194.16666666666666,286.76869031683316,82236.28174603175,420,420,20,13,0.004129031809364877,0.038639068603515625,0.0,0.007513799830573184,0.16929030418395996,0.0446169376373291,0.0,0.008464515209197998,0.011891501226685586,0.1680281162261963,0.06054425239562988,7.152557373046875e-07,0.008401405811309815,0.013981872863070488,12,13,0,0,2,3,0,25,40,0,0,1.0,194.16666666666666,64240,5792,0,0,0,0,0,0,0,0,0,0,312.0,5.0,0,58212.76014234876,194.42857142857142,193.9047619047619,0,21,21,4083,4072
192.168.50.10,192.168.50.20,45704,80,6,2026-09-07 18:17:09,0.03520846366882324,53793.883704079904,312.4248789571695,198.8158320636533,113.60904689351617,7,4,555,1339,143,66,79.28571428571429,26.244532958391193,1133,66,334.75,460.8814245551669,1133,66,172.1818181818182,304.5995338687468,92780.87603305782,140,80,20,1,0.0035208463668823242,0.025176525115966797,0.0,0.007282367758607057,0.03520846366882324,0.026913166046142578,0.0,0.005868077278137207,0.009450903698031057,0.033777475357055664,0.025176525115966797,0.003937244415283203,0.011259158452351889,0.009845532241660656,1,1,0,0,2,3,0,2,9,0,0,0.5714285714285714,172.1818181818182,64240,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.28571428571429,334.75,0,7,4,555,1339
