feature,importance_rank,importance,semantic_status,ssh_residual_ks_after
Idle Mean,0,0.23894979059696198,TIMEOUT_DEPENDENT,
Bwd Packet Length Std,1,0.12301358580589294,IMPLEMENTATION_DIFFERENCE,0.9983050847457627
PSH Flag Count,2,0.10925355553627014,FLAG_DEFINITION_DIFFERENCE,1.0
Bwd Header Length,3,0.07734746485948563,IMPLEMENTATION_DIFFERENCE,0.5186440677966102
act_data_pkt_fwd,4,0.07676631212234497,LIKELY_EQUIVALENT,0.5152542372881356
Average Packet Size,5,0.07328735291957855,IMPLEMENTATION_DIFFERENCE,1.0
Bwd Packet Length Mean,6,0.052313417196273804,IMPLEMENTATION_DIFFERENCE,1.0
Max Packet Length,7,0.03485185652971268,IMPLEMENTATION_DIFFERENCE,1.0
Total Fwd Packets,8,0.02998185344040394,LIKELY_EQUIVALENT,0.4822033898305085
Total Length of Fwd Packets,9,0.020141461864113808,IMPLEMENTATION_DIFFERENCE,1.0
Total Backward Packets,10,0.019553449004888535,LIKELY_EQUIVALENT,0.5169491525423728
Fwd Packet Length Max,11,0.0177464559674263,IMPLEMENTATION_DIFFERENCE,1.0
Bwd Packets/s,12,0.015939507633447647,LIKELY_EQUIVALENT,0.5186440677966102
FIN Flag Count,13,0.012736480683088303,FLAG_DEFINITION_DIFFERENCE,
Fwd Packet Length Min,14,0.01265924796462059,IMPLEMENTATION_DIFFERENCE,1.0
