feature,schema_position,canonical_unit,laboratory_unit,canonical_p99,canonical_max,ssh_p99,ssh_nonzero_fraction,portscan_nonzero_fraction,canonical_microseconds_scale,laboratory_seconds_scale_confirmed,semantic_status,required_transformation,auto_transformed_in_primary,note
Flow Duration,2,microseconds,seconds,117780635.25,119999993.0,2.6739260673522947,1.0,0.28487518355359764,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 1.18e+08) and laboratory seconds scale with non-zero data (ssh p99 2.67)
Flow IAT Mean,17,microseconds,seconds,21300000.0,119000000.0,0.09903429879082572,1.0,0.28487518355359764,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 2.13e+07) and laboratory seconds scale with non-zero data (ssh p99 0.099)
Flow IAT Std,18,microseconds,seconds,32897349.987456657,84800000.0,0.47364948213987695,1.0,0.28487518355359764,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 3.29e+07) and laboratory seconds scale with non-zero data (ssh p99 0.474)
Flow IAT Max,19,microseconds,seconds,99800000.0,120000000.0,2.5135762596130364,1.0,0.28487518355359764,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 9.98e+07) and laboratory seconds scale with non-zero data (ssh p99 2.51)
Fwd IAT Total,21,microseconds,seconds,118000000.0,120000000.0,2.6739260673522947,1.0,0.005139500734214391,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 1.18e+08) and laboratory seconds scale with non-zero data (ssh p99 2.67)
Fwd IAT Mean,22,microseconds,seconds,53400000.0,120000000.0,0.2056866205655611,1.0,0.005139500734214391,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 5.34e+07) and laboratory seconds scale with non-zero data (ssh p99 0.206)
Fwd IAT Std,23,microseconds,seconds,44300000.0,83700000.0,0.678091977190005,1.0,0.005139500734214391,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 4.43e+07) and laboratory seconds scale with non-zero data (ssh p99 0.678)
Fwd IAT Max,24,microseconds,seconds,99900000.0,120000000.0,2.5542718791961665,1.0,0.005139500734214391,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 9.99e+07) and laboratory seconds scale with non-zero data (ssh p99 2.55)
Bwd IAT Total,26,microseconds,seconds,117000000.0,120000000.0,2.6722514343261716,1.0,0.0,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 1.17e+08) and laboratory seconds scale with non-zero data (ssh p99 2.67)
Bwd IAT Mean,27,microseconds,seconds,53400000.0,120000000.0,0.20555780264047474,1.0,0.0,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 5.34e+07) and laboratory seconds scale with non-zero data (ssh p99 0.206)
Bwd IAT Std,28,microseconds,seconds,40100000.0,83400000.0,0.6664896640051573,1.0,0.0,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 4.01e+07) and laboratory seconds scale with non-zero data (ssh p99 0.666)
Bwd IAT Max,29,microseconds,seconds,98700000.0,120000000.0,2.5135762596130364,1.0,0.0,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 9.87e+07) and laboratory seconds scale with non-zero data (ssh p99 2.51)
Bwd IAT Min,30,microseconds,seconds,48700000.0,120000000.0,0.0011055278778076168,1.0,0.0,True,True,CONFIRMED_UNIT_CONVERSION,seconds_to_microseconds (x1e6),True,canonical microseconds scale (p99 4.87e+07) and laboratory seconds scale with non-zero data (ssh p99 0.00111)
Flow IAT Min,20,microseconds,zero/unknown,536794.25,119000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Fwd IAT Min,25,microseconds,zero/unknown,51723400.75,120000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Active Mean,70,microseconds,zero/unknown,2268702.75,106000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Active Std,71,microseconds,zero/unknown,1116462.705435473,70500000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Active Max,72,microseconds,zero/unknown,4159615.75,106000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Active Min,73,microseconds,zero/unknown,1437242.0,106000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Idle Mean,74,microseconds,zero/unknown,99700000.0,120000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Idle Std,75,microseconds,zero/unknown,18800000.0,75145023.2323283,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Idle Max,76,microseconds,zero/unknown,99800000.0,120000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Idle Min,77,microseconds,zero/unknown,99700000.0,120000000.0,0.0,0.0,0.0,True,False,LIKELY_UNIT_CONVERSION,"none (all-zero in laboratory; no-op, not auto-applied)",False,canonical microseconds scale but laboratory value is zero in both captures; no positive seconds-scale evidence
Flow Bytes/s,15,per_second,per_second,12333333.333333332,2071000000.0,61166.11367413304,1.0,0.28487518355359764,True,False,SEMANTICS_DIFFER,none,False,per-second rate already emitted in bytes/s or packets/s by cicflowmeter; not double-corrected for the duration unit
Flow Packets/s,16,per_second,per_second,2000000.0,3000000.0,290.1572033171236,1.0,0.28487518355359764,True,True,SEMANTICS_DIFFER,none,False,per-second rate already emitted in bytes/s or packets/s by cicflowmeter; not double-corrected for the duration unit
Fwd Packets/s,37,per_second,per_second,1500000.0,3000000.0,154.442297305638,1.0,0.28487518355359764,True,True,SEMANTICS_DIFFER,none,False,per-second rate already emitted in bytes/s or packets/s by cicflowmeter; not double-corrected for the duration unit
Bwd Packets/s,38,per_second,per_second,71428.57143,2000000.0,135.71490601148565,1.0,0.28487518355359764,False,True,SEMANTICS_DIFFER,none,False,per-second rate already emitted in bytes/s or packets/s by cicflowmeter; not double-corrected for the duration unit
