feature,is_time_feature,canon_median,lab_median,ks_before,ks_after,outside_p01_p99_before,outside_p01_p99_after
Destination Port,False,3766.0,4897.5,0.18107112496457922,0.18107112496457922,0.22026431718061676,0.22026431718061676
Protocol,False,6.0,6.0,6.297030949907119e-05,6.297030949907119e-05,0.0,0.0
Flow Duration,True,47.0,0.0,1.0,0.7151248164464024,100.0,100.0
Total Fwd Packets,False,1.0,2.0,0.9911526715153804,0.9911526715153804,100.0,100.0
Total Backward Packets,False,1.0,0.0,0.7147155094346584,0.7147155094346584,71.51248164464023,71.51248164464023
Total Length of Fwd Packets,False,0.0,116.0,0.9997796039167532,0.9997796039167532,100.0,100.0
Total Length of Bwd Packets,False,6.0,0.0,0.7117873900429516,0.7117873900429516,100.0,100.0
Fwd Packet Length Max,False,0.0,58.0,0.9995906929882561,0.9995906929882561,100.0,100.0
Fwd Packet Length Min,False,0.0,58.0,1.0,1.0,100.0,100.0
Fwd Packet Length Mean,False,0.0,58.0,1.0,1.0,100.0,100.0
Fwd Packet Length Std,False,0.0,0.0,0.003746733415194714,0.003746733415194714,0.5139500734214391,0.5139500734214391
Bwd Packet Length Max,False,6.0,0.0,0.7117873900429516,0.7117873900429516,100.0,100.0
Bwd Packet Length Min,False,6.0,0.0,0.7107798650909665,0.7107798650909665,100.0,100.0
Bwd Packet Length Mean,False,6.0,0.0,0.7117873900429516,0.7117873900429516,100.0,100.0
Bwd Packet Length Std,False,0.0,0.0,0.0010075249519850837,0.0010075249519850837,0.0,0.0
Flow Bytes/s,False,139534.8837,0.0,0.7118818455072002,0.7118818455072002,71.51248164464023,71.51248164464023
Flow Packets/s,False,42553.19149,0.0,0.9903970278013916,0.9903970278013916,100.0,100.0
Flow IAT Mean,True,47.0,0.0,1.0,0.7151248164464024,100.0,99.92657856093979
Flow IAT Std,True,0.0,0.0,0.2760278550689781,0.2760278550689781,28.487518355359764,28.487518355359764
Flow IAT Max,True,47.0,0.0,1.0,0.7151248164464024,100.0,100.0
Flow IAT Min,True,47.0,0.0,0.9999685148452505,0.9999685148452505,100.0,100.0
Fwd IAT Total,True,0.0,0.0,0.008847328484619554,0.003707827750405124,0.5139500734214391,0.5139500734214391
Fwd IAT Mean,True,0.0,0.0,0.008847328484619554,0.003707827750405124,0.5139500734214391,0.5139500734214391
Fwd IAT Std,True,0.0,0.0,0.0043134662006864,0.0026421176776383337,0.5139500734214391,0.5139500734214391
Fwd IAT Max,True,0.0,0.0,0.008847328484619554,0.003707827750405124,0.5139500734214391,0.5139500734214391
Fwd IAT Min,True,0.0,0.0,0.008847328484619554,0.008847328484619554,0.0,0.0
Bwd IAT Total,True,0.0,0.0,0.002644752998960942,0.002644752998960942,0.0,0.0
Bwd IAT Mean,True,0.0,0.0,0.002644752998960942,0.002644752998960942,0.0,0.0
Bwd IAT Std,True,0.0,0.0,0.0006611882497402632,0.0006611882497402632,0.0,0.0
Bwd IAT Max,True,0.0,0.0,0.002644752998960942,0.002644752998960942,0.0,0.0
Bwd IAT Min,True,0.0,0.0,0.002644752998960942,0.002644752998960942,0.0,0.0
Fwd PSH Flags,False,0.0,0.0,,,0.0,0.0
Bwd PSH Flags,False,0.0,0.0,,,0.0,0.0
Fwd URG Flags,False,0.0,0.0,,,0.0,0.0
Bwd URG Flags,False,0.0,0.0,,,0.0,0.0
Fwd Header Length,False,40.0,40.0,0.49069613677151225,0.49069613677151225,0.5139500734214391,0.5139500734214391
Bwd Header Length,False,20.0,0.0,0.7146840242799088,0.7146840242799088,71.51248164464023,71.51248164464023
Fwd Packets/s,False,21276.59574,0.0,0.9896527575794268,0.9896527575794268,99.92657856093979,99.92657856093979
Bwd Packets/s,False,21276.59574,0.0,0.9908063348131356,0.9908063348131356,100.0,100.0
Min Packet Length,False,0.0,58.0,1.0,1.0,100.0,100.0
Max Packet Length,False,6.0,58.0,0.9993702969050093,0.9993702969050093,100.0,100.0
Packet Length Mean,False,2.0,58.0,0.9995906929882561,0.9995906929882561,100.0,100.0
Packet Length Std,False,3.464101615,0.0,0.9937344542048424,0.9937344542048424,100.0,100.0
Packet Length Variance,False,12.0,0.0,0.9937344542048424,0.9937344542048424,100.0,100.0
FIN Flag Count,False,0.0,0.0,,,0.0,0.0
SYN Flag Count,False,0.0,2.0,,,100.0,100.0
RST Flag Count,False,0.0,0.0,,,28.487518355359764,28.487518355359764
PSH Flag Count,False,1.0,0.0,0.999527722678757,0.999527722678757,100.0,100.0
ACK Flag Count,False,0.0,0.0,0.28446587654185373,0.28446587654185373,28.487518355359764,28.487518355359764
URG Flag Count,False,0.0,0.0,3.1485154749488764e-05,3.1485154749488764e-05,0.0,0.0
CWE Flag Count,False,0.0,0.0,,,0.0,0.0
ECE Flag Count,False,0.0,0.0,,,0.0,0.0
Down/Up Ratio,False,1.0,0.0,0.9929158401813545,0.9929158401813545,100.0,100.0
Average Packet Size,False,3.0,58.0,0.9995906929882561,0.9995906929882561,100.0,100.0
Avg Fwd Segment Size,False,0.0,58.0,1.0,1.0,100.0,100.0
Avg Bwd Segment Size,False,6.0,0.0,0.7117873900429516,0.7117873900429516,100.0,100.0
Fwd Avg Bytes/Bulk,False,0.0,0.0,,,0.0,0.0
Fwd Avg Packets/Bulk,False,0.0,0.0,,,0.0,0.0
Fwd Avg Bulk Rate,False,0.0,0.0,,,0.0,0.0
Bwd Avg Bytes/Bulk,False,0.0,0.0,,,0.0,0.0
Bwd Avg Packets/Bulk,False,0.0,0.0,,,0.0,0.0
Bwd Avg Bulk Rate,False,0.0,0.0,,,0.0,0.0
Subflow Fwd Packets,False,1.0,2.0,0.9911526715153804,0.9911526715153804,100.0,100.0
Subflow Fwd Bytes,False,0.0,116.0,0.9997796039167532,0.9997796039167532,100.0,100.0
Subflow Bwd Packets,False,1.0,0.0,0.7147155094346584,0.7147155094346584,71.51248164464023,71.51248164464023
Subflow Bwd Bytes,False,6.0,0.0,0.7117873900429516,0.7117873900429516,100.0,100.0
Init_Win_bytes_forward,False,29200.0,1024.0,0.5058090110512894,0.5058090110512894,0.0,0.0
Init_Win_bytes_backward,False,0.0,0.0,0.005793268473914592,0.005793268473914592,0.5139500734214391,0.5139500734214391
act_data_pkt_fwd,False,0.0,0.0,0.003746733415194714,0.003746733415194714,0.0,0.0
min_seg_size_forward,False,40.0,20.0,0.9969144548345455,0.9969144548345455,100.0,100.0
Active Mean,True,0.0,0.0,0.0019205944397217012,0.0019205944397217012,0.0,0.0
Active Std,True,0.0,0.0,,,0.0,0.0
Active Max,True,0.0,0.0,0.0019205944397217012,0.0019205944397217012,0.0,0.0
Active Min,True,0.0,0.0,0.0019205944397217012,0.0019205944397217012,0.0,0.0
Idle Mean,True,0.0,0.0,0.0019205944397217012,0.0019205944397217012,0.0,0.0
Idle Std,True,0.0,0.0,,,0.0,0.0
Idle Max,True,0.0,0.0,0.0019205944397217012,0.0019205944397217012,0.0,0.0
Idle Min,True,0.0,0.0,0.0019205944397217012,0.0019205944397217012,0.0,0.0
