feature,is_time_feature,canon_median,lab_median,ks_before,ks_after,outside_p01_p99_before,outside_p01_p99_after
Destination Port,False,22.0,22.0,,,0.0,0.0
Protocol,False,6.0,6.0,,,0.0,0.0
Flow Duration,True,10608658.0,2023039.8178100586,1.0,0.5177966101694915,100.0,0.0
Total Fwd Packets,False,19.0,14.0,0.4822033898305085,0.4822033898305085,0.0,0.0
Total Backward Packets,False,31.0,14.0,0.5169491525423728,0.5169491525423728,0.0,0.0
Total Length of Fwd Packets,False,2008.0,3389.0,1.0,1.0,100.0,100.0
Total Length of Bwd Packets,False,2745.0,3290.0,0.9983050847457627,0.9983050847457627,100.0,100.0
Fwd Packet Length Max,False,640.0,1810.0,1.0,1.0,100.0,100.0
Fwd Packet Length Min,False,0.0,66.0,1.0,1.0,100.0,100.0
Fwd Packet Length Mean,False,87.30434783,242.07142857142858,1.0,1.0,100.0,100.0
Fwd Packet Length Std,False,136.3399611,446.6383107305563,1.0,1.0,100.0,100.0
Bwd Packet Length Max,False,976.0,1042.0,1.0,1.0,100.0,100.0
Bwd Packet Length Min,False,0.0,66.0,,,100.0,100.0
Bwd Packet Length Mean,False,83.18181818,235.0,1.0,1.0,100.0,100.0
Bwd Packet Length Std,False,217.2857356,309.7489767076375,0.9983050847457627,0.9983050847457627,100.0,100.0
Flow Bytes/s,False,345.83140000000003,3307.647471187417,0.9949152542372881,0.9949152542372881,100.0,100.0
Flow Packets/s,False,5.019403212,14.040515030243645,0.5177966101694915,0.5177966101694915,0.0,0.0
Flow IAT Mean,True,203515.77565,73860.32740275066,1.0,0.5177966101694915,100.0,0.0
Flow IAT Std,True,549641.61515,353937.59415197157,0.5271186440677966,0.5177966101694915,0.0,0.0
Flow IAT Max,True,2021102.5,1900693.416595459,1.0,0.48050847457627116,100.0,0.0
Flow IAT Min,True,20.5,0.0,1.0,1.0,100.0,100.0
Fwd IAT Total,True,8802956.0,2023039.8178100586,0.5279661016949152,0.5177966101694915,0.0,0.0
Fwd IAT Mean,True,431899.375,150026.98557717458,0.5279661016949152,0.5177966101694915,0.0,0.0
Fwd IAT Std,True,777851.0398500001,503156.18565473694,0.5228813559322034,0.5177966101694915,0.0,0.0
Fwd IAT Max,True,2021701.0,1934976.33934021,0.5279661016949152,0.48050847457627116,0.0,0.0
Fwd IAT Min,True,17.5,0.0,0.5279661016949152,0.5279661016949152,0.0,0.0
Bwd IAT Total,True,10600000.0,2022387.981414795,0.5245762711864407,0.5177966101694915,0.0,0.0
Bwd IAT Mean,True,347033.76765,153345.69490872897,0.5245762711864407,0.5177966101694915,0.0,0.0
Bwd IAT Std,True,684866.96395,500477.07973524026,0.5194915254237288,0.5033898305084745,0.0,0.0
Bwd IAT Max,True,2021102.5,1900693.416595459,0.5245762711864407,0.48135593220338985,0.0,0.0
Bwd IAT Min,True,3.0,529.5276641845703,0.5245762711864407,0.7195529353967084,0.0,72.46376811594203
Fwd PSH Flags,False,0.0,8.0,1.0,1.0,100.0,100.0
Bwd PSH Flags,False,0.0,7.0,,,100.0,100.0
Fwd URG Flags,False,0.0,0.0,,,0.0,0.0
Bwd URG Flags,False,0.0,0.0,,,0.0,0.0
Fwd Header Length,False,616.0,280.0,0.5186440677966102,0.5186440677966102,0.0,0.0
Bwd Header Length,False,1000.0,280.0,0.5186440677966102,0.5186440677966102,0.0,0.0
Fwd Packets/s,False,2.008910466,7.143918923686684,0.5177966101694915,0.5177966101694915,0.0,0.0
Bwd Packets/s,False,2.9648755615000004,7.0202575151218225,0.5186440677966102,0.5186440677966102,0.0,0.0
Min Packet Length,False,0.0,66.0,,,100.0,100.0
Max Packet Length,False,976.0,1810.0,1.0,1.0,100.0,100.0
Packet Length Mean,False,84.790948275,238.53571428571428,1.0,1.0,100.0,100.0
Packet Length Std,False,186.15726935,384.3534907703414,1.0,1.0,100.0,100.0
Packet Length Variance,False,34654.954545,147727.60586734692,1.0,1.0,100.0,100.0
FIN Flag Count,False,0.0,2.0,,,100.0,100.0
SYN Flag Count,False,0.0,3.0,1.0,1.0,100.0,100.0
RST Flag Count,False,0.0,0.0,,,0.0,0.0
PSH Flag Count,False,1.0,15.0,1.0,1.0,100.0,100.0
ACK Flag Count,False,0.0,26.0,1.0,1.0,100.0,100.0
URG Flag Count,False,0.0,0.0,0.4711864406779661,0.4711864406779661,0.0,0.0
CWE Flag Count,False,0.0,0.0,,,0.0,0.0
ECE Flag Count,False,0.0,0.0,,,0.0,0.0
Down/Up Ratio,False,1.0,1.0,0.3418938835666912,0.3418938835666912,36.231884057971016,36.231884057971016
Average Packet Size,False,86.30558214,238.53571428571428,1.0,1.0,100.0,100.0
Avg Fwd Segment Size,False,87.30434783,242.07142857142858,1.0,1.0,100.0,100.0
Avg Bwd Segment Size,False,83.18181818,235.0,1.0,1.0,100.0,100.0
Fwd Avg Bytes/Bulk,False,0.0,0.0,,,0.0,0.0
Fwd Avg Packets/Bulk,False,0.0,0.0,,,0.0,0.0
Fwd Avg Bulk Rate,False,0.0,0.0,,,0.0,0.0
Bwd Avg Bytes/Bulk,False,0.0,0.0,,,0.0,0.0
Bwd Avg Packets/Bulk,False,0.0,0.0,,,0.0,0.0
Bwd Avg Bulk Rate,False,0.0,0.0,,,0.0,0.0
Subflow Fwd Packets,False,19.0,14.0,0.4822033898305085,0.4822033898305085,0.0,0.0
Subflow Fwd Bytes,False,2008.0,3389.0,1.0,1.0,100.0,100.0
Subflow Bwd Packets,False,31.0,14.0,0.5169491525423728,0.5169491525423728,0.0,0.0
Subflow Bwd Bytes,False,2745.0,3290.0,0.9983050847457627,0.9983050847457627,100.0,100.0
Init_Win_bytes_forward,False,29200.0,64240.0,1.0,1.0,100.0,100.0
Init_Win_bytes_backward,False,247.0,5792.0,1.0,1.0,100.0,100.0
act_data_pkt_fwd,False,16.0,8.0,0.5152542372881356,0.5152542372881356,0.0,0.0
min_seg_size_forward,False,32.0,20.0,1.0,1.0,100.0,100.0
Active Mean,True,0.0,0.0,,,0.0,0.0
Active Std,True,0.0,0.0,,,0.0,0.0
Active Max,True,0.0,0.0,,,0.0,0.0
Active Min,True,0.0,0.0,,,0.0,0.0
Idle Mean,True,0.0,0.0,,,0.0,0.0
Idle Std,True,0.0,0.0,,,0.0,0.0
Idle Max,True,0.0,0.0,,,0.0,0.0
Idle Min,True,0.0,0.0,,,0.0,0.0
