feature,importance_rank,importance,ks_statistic,ks_shift_rank,abs_standardized_diff,pct_lab_outside_canon_p01_p99,canon_median,lab_median
Idle Mean,0,0.23894979059696198,0.0019205944397217012,54,0.049410781411549316,0.0,0.0,0.0
Bwd Packet Length Std,1,0.12301358580589294,0.0010075249519850837,57,0.028892003012604275,0.0,0.0,0.0
PSH Flag Count,2,0.10925355553627014,0.999527722678757,13,65.059972333225,100.0,1.0,0.0
Bwd Header Length,3,0.07734746485948563,0.7146840242799088,26,2.0770746080966216,71.51248164464023,20.0,0.0
act_data_pkt_fwd,4,0.07676631212234497,0.003746733415194714,46,0.08672743765351454,0.0,0.0,0.0
Average Packet Size,5,0.07328735291957855,0.9995906929882561,12,3.1661915282748865,100.0,3.0,58.0
Bwd Packet Length Mean,6,0.052313417196273804,0.7117873900429516,30,0.2866527847215923,100.0,6.0,0.0
Max Packet Length,7,0.03485185652971268,0.9993702969050093,14,0.6676930140489716,100.0,6.0,58.0
Total Fwd Packets,8,0.02998185344040394,0.9911526715153804,19,6.90769507170961,100.0,1.0,2.0
Total Length of Fwd Packets,9,0.020141461864113808,0.9997796039167532,8,33.98239514686305,100.0,0.0,116.0
Total Backward Packets,10,0.019553449004888535,0.7147155094346584,24,2.1891617600351303,71.51248164464023,1.0,0.0
Fwd Packet Length Max,11,0.0177464559674263,0.9995906929882561,10,28.45620470515154,100.0,0.0,58.0
Bwd Packets/s,12,0.015939507633447647,0.9908063348131356,21,0.6743691217517007,100.0,21276.59574,0.0
FIN Flag Count,13,0.012736480683088303,,65,,0.0,0.0,0.0
Fwd Packet Length Min,14,0.01265924796462059,1.0,1,77.49749043510869,100.0,0.0,58.0
