feature,canon_n,canon_median,canon_mean,canon_std,canon_p25,canon_p75,canon_p01,canon_p99,lab_n,lab_median,lab_mean,lab_std,lab_p25,lab_p75,abs_standardized_diff,median_diff,median_ratio,ks_statistic,pct_lab_outside_canon_iqr,pct_lab_outside_canon_p01_p99,canon_constant,lab_constant
Flow Duration,31761,47.0,85902.94433424641,2431726.505000545,41.0,61.0,4.0,152.0,1362,0.0,0.0003602982617684923,0.0006283993411575956,0.0,0.0006987452507019043,0.04995837655505851,-47.0,0.0,1.0,100.0,100.0,False,False
Fwd Packet Length Min,31761,0.0,0.9872485123264381,0.999918696475924,0.0,2.0,0.0,2.0,1362,58.0,57.97944199706314,0.286023391111074,58.0,58.0,77.49749043510869,58.0,,1.0,100.0,100.0,False,False
Fwd Packet Length Mean,31761,0.0,1.004492931582129,1.1316771457488009,0.0,2.0,0.0,2.0,1362,58.0,57.993147332354376,0.09534113037035817,58.0,58.0,70.96513945896244,58.0,,1.0,100.0,100.0,False,False
Flow IAT Mean,31761,47.0,28021.68610055489,807643.8294094877,41.0,61.0,4.0,151.40000000000146,1362,0.0,0.00017882210334258747,0.000312146027097393,0.0,0.00034937262535095215,0.04906698575292576,-47.0,0.0,1.0,100.0,100.0,False,False
Flow IAT Max,31761,47.0,85238.87226472718,2429516.448544135,41.0,61.0,4.0,152.0,1362,0.0,0.0003598923200027533,0.000627652366323496,0.0,0.0006987452507019043,0.04961726797998692,-47.0,0.0,1.0,100.0,100.0,False,False
Min Packet Length,31761,0.0,0.9872485123264381,0.999918696475924,0.0,2.0,0.0,2.0,1362,58.0,57.97944199706314,0.286023391111074,58.0,58.0,77.49749043510869,58.0,,1.0,100.0,100.0,False,False
Avg Fwd Segment Size,31761,0.0,1.004492931582129,1.1316771457488009,0.0,2.0,0.0,2.0,1362,58.0,57.993147332354376,0.09534113037035817,58.0,58.0,70.96513945896244,58.0,,1.0,100.0,100.0,False,False
Flow IAT Min,31761,47.0,119.52148861811656,12490.261186302276,41.0,60.0,4.0,106.0,1362,0.0,0.0,0.0,0.0,0.0,0.013532856333231149,-47.0,0.0,0.9999685148452505,100.0,100.0,False,True
Total Length of Fwd Packets,31761,0.0,1.0599792197978652,2.8427658988302107,0.0,2.0,0.0,2.0,1362,116.0,116.27753303964758,3.861315779999498,116.0,116.0,33.98239514686305,116.0,,0.9997796039167532,100.0,100.0,False,False
Subflow Fwd Bytes,31761,0.0,1.0599792197978652,2.8427658988302107,0.0,2.0,0.0,2.0,1362,116.0,116.27753303964758,3.861315779999498,116.0,116.0,33.98239514686305,116.0,,0.9997796039167532,100.0,100.0,False,False
