feature,canon_n,canon_mean,canon_std,canon_p01,canon_p25,canon_median,canon_p75,canon_p99,canon_min,canon_max,canon_zero_fraction,lab_n,lab_mean,lab_std,lab_p01,lab_p25,lab_median,lab_p75,lab_p99,lab_min,lab_max,lab_zero_fraction,ks_statistic,abs_standardized_diff,median_diff,median_ratio,pct_lab_outside_canon_iqr,pct_lab_outside_canon_p01_p99,canon_constant,lab_constant
Flow Duration,1180,6451512.9940677965,6996100.054765009,33.0,76.0,10608658.0,12203052.25,14178821.730000002,18.0,119816717.0,0.0,69,1.960015915442204,0.5194783574931562,0.12563232421875,1.8326992988586426,2.0230398178100586,2.2522735595703125,2.6739260673522947,0.11590290069580078,2.7161295413970947,0.0,1.0,1.3041286332006687,-10608655.976960182,1.9069705308721034e-07,100.0,100.0,False,False
Total Length of Fwd Packets,1180,1042.6440677966102,1005.5267236410649,0.0,0.0,2008.0,2008.0,2024.0,0.0,2824.0,0.4754237288135593,69,3448.449275362319,142.3129370953052,3389.0,3389.0,3389.0,3455.0,4024.68,3389.0,4041.0,0.0,1.0,3.3502341922034504,1381.0,1.6877490039840637,100.0,100.0,False,False
Fwd Packet Length Max,1180,332.09491525423726,319.65530875432574,0.0,0.0,640.0,640.0,640.0,0.0,664.0,0.4754237288135593,69,1801.4202898550725,49.65866265544793,1514.0,1810.0,1810.0,1810.0,1810.0,1514.0,1810.0,0.0,1.0,6.423514363007522,1170.0,2.828125,100.0,100.0,False,False
Fwd Packet Length Min,1180,0.020338983050847456,0.698370903595501,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.9991525423728813,69,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,1.0,133.6099928713439,66.0,,100.0,100.0,False,True
Fwd Packet Length Mean,1180,49.475484087762716,47.6886460484803,0.0,0.0,87.30434783,95.61904762,105.6842105,0.0,116.173913,0.4754237288135593,69,235.75236687733832,9.910062907820391,201.666,230.33333333333334,242.07142857142858,242.07142857142858,242.07142857142858,200.85,242.07142857142858,0.0,1.0,5.408520860633582,154.76708074142857,2.772730506420972,100.0,100.0,False,False
Fwd Packet Length Std,1180,72.66100611122882,69.90986009670111,0.0,0.0,136.3399611,140.0451628,143.7671932,0.0,183.2985515,0.47627118644067795,69,436.254779771805,20.027639474684094,361.89495099483713,433.7230555191745,446.6383107305563,446.6383107305563,446.6383107305563,361.89495099483713,446.6383107305563,0.0,1.0,7.07074851867488,310.29834963055634,3.27591637203831,100.0,100.0,False,False
Bwd Packet Length Max,1180,506.1966101694915,487.66062315747774,0.0,0.0,976.0,976.0,976.0,0.0,976.0,0.48135593220338985,69,1042.0,0.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,0.0,1.0,1.5538273641156592,66.0,1.0676229508196722,100.0,100.0,False,True
Bwd Packet Length Mean,1180,44.648000652483056,43.16469607610004,0.0,0.0,83.18181818,85.78125,88.5483871,0.0,182.6363636,0.48135593220338985,69,233.38141517476558,4.98760957023192,215.52941176470588,235.0,235.0,235.0,235.0,215.52941176470588,235.0,0.0,1.0,6.142640048904588,151.81818182,2.8251366120836097,100.0,100.0,False,False
Flow IAT Mean,1180,124996.12347133874,160586.07563703766,33.0,76.0,203515.77565,234288.406025,271443.01593600004,18.0,3865055.387,0.0,69,0.07146160825360634,0.019410228217161127,0.003560059320359003,0.06776493787765503,0.07386032740275066,0.08171191921940556,0.09903429879082572,0.0032195250193277993,0.10059739042211462,0.0,1.0,1.1007872961214684,-203515.7017896726,3.629218775146616e-07,100.0,100.0,False,False
Flow IAT Max,1180,1330462.386440678,3520885.07189086,33.0,76.0,2021102.5,2391788.0,2840251.05,18.0,115000000.0,0.0,69,1.8108238275500312,0.5077597169288997,0.03352532386779785,1.6804296970367432,1.900693416595459,2.0684072971343994,2.5135762596130364,0.03319215774536133,2.5666158199310303,0.0,1.0,0.5343984117123064,-2021100.5993065834,9.404240589457779e-07,100.0,100.0,False,False
Flow IAT Min,1180,69.83305084745763,1086.0131183896542,1.0,3.0,20.5,74.0,116.63000000000011,1.0,37337.0,0.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09093706690836724,-20.5,0.0,100.0,100.0,False,True
Fwd PSH Flags,1180,0.00423728813559322,0.06495639710489784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957627118644068,69,8.27536231884058,1.1149063517053277,8.0,8.0,8.0,8.0,13.0,8.0,13.0,0.0,1.0,10.473825903389926,8.0,,100.0,100.0,False,False
Max Packet Length,1180,506.33898305084745,487.51629995068873,0.0,0.0,976.0,976.0,976.0,0.0,976.0,0.4754237288135593,69,1801.4202898550725,49.65866265544793,1514.0,1810.0,1810.0,1810.0,1810.0,1514.0,1810.0,0.0,1.0,3.73750235114687,834.0,1.8545081967213115,100.0,100.0,False,False
Packet Length Mean,1180,45.68416288163475,43.968266676957235,0.0,0.0,84.790948275,88.01851852,93.19607843,0.0,125.48,0.4754237288135593,69,234.4992046019032,7.057866090447876,208.0356756756757,232.58620689655172,238.53571428571428,238.53571428571428,238.53571428571428,207.59459459459458,238.53571428571428,0.0,1.0,5.996361763713973,153.74476601071427,2.813221448026249,100.0,100.0,False,False
Packet Length Std,1180,98.4534166027644,94.78114824927965,0.0,0.0,186.15726935,189.5902723,193.9302988,0.0,273.1972913,0.4754237288135593,69,378.5051423075217,12.742014451881083,333.4029077391031,378.9784378582433,384.3534907703414,384.3534907703414,384.3534907703414,333.4029077391031,384.3534907703414,0.0,1.0,4.141348776843434,198.1962214203414,2.0646708673390917,100.0,100.0,False,False
Packet Length Variance,1180,18676.54130345279,18060.616453336777,0.0,0.0,34654.954545,35944.47135,37608.96078,0.0,74636.76,0.4754237288135593,69,143428.50168552916,9206.246010633697,111157.4988888889,143624.6563614744,147727.60586734692,147727.60586734692,147727.60586734692,111157.4988888889,147727.60586734692,0.0,1.0,8.703075051436475,113072.65132234692,4.262813436258308,100.0,100.0,False,False
SYN Flag Count,1180,0.00423728813559322,0.06495639710489784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957627118644068,69,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,65.22295640764219,3.0,,100.0,100.0,False,True
PSH Flag Count,1180,0.5228813559322034,0.4994761691519465,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.47711864406779664,69,15.44927536231884,1.8140852438630553,15.0,15.0,15.0,15.0,23.0,15.0,23.0,0.0,1.0,11.218759928363937,14.0,15.0,100.0,100.0,False,False
ACK Flag Count,1180,0.47711864406779664,0.4994761691519465,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5228813559322034,69,26.89855072463768,1.9865119641368627,26.0,26.0,26.0,27.0,35.0,26.0,35.0,0.0,1.0,18.241847256878255,26.0,,100.0,100.0,False,False
Average Packet Size,1180,46.56297341028814,44.79204914245156,0.0,0.0,86.30558214,89.67924528,95.06,0.0,130.7083333,0.4754237288135593,69,234.4992046019032,7.057866090447876,208.0356756756757,232.58620689655172,238.53571428571428,238.53571428571428,238.53571428571428,207.59459459459458,238.53571428571428,0.0,1.0,5.861368822152054,152.23013214571426,2.7638503602093225,100.0,100.0,False,False
Avg Fwd Segment Size,1180,49.475484087762716,47.6886460484803,0.0,0.0,87.30434783,95.61904762,105.6842105,0.0,116.173913,0.4754237288135593,69,235.75236687733832,9.910062907820391,201.666,230.33333333333334,242.07142857142858,242.07142857142858,242.07142857142858,200.85,242.07142857142858,0.0,1.0,5.408520860633582,154.76708074142857,2.772730506420972,100.0,100.0,False,False
Avg Bwd Segment Size,1180,44.648000652483056,43.16469607610004,0.0,0.0,83.18181818,85.78125,88.5483871,0.0,182.6363636,0.48135593220338985,69,233.38141517476558,4.98760957023192,215.52941176470588,235.0,235.0,235.0,235.0,215.52941176470588,235.0,0.0,1.0,6.142640048904588,151.81818182,2.8251366120836097,100.0,100.0,False,False
Subflow Fwd Bytes,1180,1042.6440677966102,1005.5267236410649,0.0,0.0,2008.0,2008.0,2024.0,0.0,2824.0,0.4754237288135593,69,3448.449275362319,142.3129370953052,3389.0,3389.0,3389.0,3455.0,4024.68,3389.0,4041.0,0.0,1.0,3.3502341922034504,1381.0,1.6877490039840637,100.0,100.0,False,False
Init_Win_bytes_forward,1180,15391.546610169491,14455.510308471852,259.0,259.0,29200.0,29200.0,29200.0,229.0,29200.0,0.0,69,64240.0,0.0,64240.0,64240.0,64240.0,64240.0,64240.0,64240.0,64240.0,0.0,1.0,4.778948913644491,35040.0,2.2,100.0,100.0,False,True
Init_Win_bytes_backward,1180,245.92372881355934,19.17340883710908,242.8,247.0,247.0,247.0,257.0,-1.0,257.0,0.005084745762711864,69,5792.0,0.0,5792.0,5792.0,5792.0,5792.0,5792.0,5792.0,5792.0,0.0,1.0,409.0736471173098,5545.0,23.44939271255061,100.0,100.0,False,True
min_seg_size_forward,1180,32.010169491525424,0.34918545179775057,32.0,32.0,32.0,32.0,32.0,32.0,44.0,0.0,69,20.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.0,1.0,48.641615777144615,-12.0,0.625,100.0,100.0,False,True
Total Length of Bwd Packets,1180,1425.8610169491526,1375.341174685542,0.0,0.0,2745.0,2745.0,2745.0,0.0,4441.0,0.48135593220338985,69,3314.550724637681,87.72346805331506,3290.0,3290.0,3290.0,3290.0,3664.0,3290.0,3664.0,0.0,0.9983050847457627,1.9381328523370582,545.0,1.198542805100182,100.0,100.0,False,False
Bwd Packet Length Std,1180,114.44467786822035,110.3993916668032,0.0,0.0,217.2857356,220.240592,223.315,0.0,362.8967547,0.48135593220338985,69,307.9734467812199,5.954839129969089,284.7822940726847,309.7489767076375,309.7489767076375,309.7489767076375,309.7489767076375,284.7822940726847,309.7489767076375,0.0,0.9983050847457627,2.47550037131923,92.46324110763749,1.4255375570435627,100.0,100.0,False,False
Subflow Bwd Bytes,1180,1425.8610169491526,1375.341174685542,0.0,0.0,2745.0,2745.0,2745.0,0.0,4441.0,0.48135593220338985,69,3314.550724637681,87.72346805331506,3290.0,3290.0,3290.0,3290.0,3664.0,3290.0,3664.0,0.0,0.9983050847457627,1.9381328523370582,545.0,1.198542805100182,100.0,100.0,False,False
Flow Bytes/s,1180,878.7127294103307,17661.65441583667,0.0,0.0,345.83140000000003,393.1566103,473.4175130940002,0.0,600000.0,0.4754237288135593,69,6402.476971954202,12690.4171513865,2498.115659438537,2988.5133596691207,3307.647471187417,3644.3512605474925,61166.11367413304,2459.0137908387555,66478.0601153596,0.0,0.9949152542372881,0.3591934522073795,2961.816071187417,9.564335312488735,100.0,100.0,False,False
Fwd IAT Total,1180,5339164.128813559,5184983.9220642485,0.0,0.0,8802956.0,10300000.0,11900000.0,0.0,14000000.0,0.47203389830508474,69,1.960015915442204,0.5194783574931562,0.12563232421875,1.8326992988586426,2.0230398178100586,2.2522735595703125,2.6739260673522947,0.11590290069580078,2.7161295413970947,0.0,0.5279661016949152,1.4562659526660295,-8802953.976960182,2.2981369187918906e-07,0.0,0.0,False,False
Fwd IAT Mean,1180,265460.4855683899,257986.1258886454,0.0,0.0,431899.375,511951.821025,609212.6739170001,0.0,659080.2222,0.47203389830508474,69,0.1466682387296469,0.0405082467802522,0.0068711264091625545,0.1367010886852558,0.1500269855771746,0.1697093706864577,0.2056866205655611,0.0061001526682000415,0.20893304164593035,0.0,0.5279661016949152,1.4551852749895118,-431899.22497301444,3.473656000941761e-07,0.0,0.0,False,False
