feature,importance_rank,importance,ks_statistic,ks_shift_rank,pct_lab_outside_canon_p01_p99,canon_median,lab_median,semantic_status,substantially_shifted
Idle Mean,0,0.23894979059696198,,74,0.0,0.0,0.0,LIKELY_SAME,False
Bwd Packet Length Std,1,0.12301358580589294,0.9983050847457627,27,100.0,217.2857356,309.7489767076375,LIKELY_SAME,True
PSH Flag Count,2,0.10925355553627014,1.0,17,100.0,1.0,15.0,POSSIBLE_IMPLEMENTATION_DIFFERENCE,True
Bwd Header Length,3,0.07734746485948563,0.5186440677966102,42,0.0,1000.0,280.0,LIKELY_SAME,True
act_data_pkt_fwd,4,0.07676631212234497,0.5152542372881356,48,0.0,16.0,8.0,LIKELY_SAME,True
Average Packet Size,5,0.07328735291957855,1.0,19,100.0,86.30558214,238.53571428571428,LIKELY_SAME,True
Bwd Packet Length Mean,6,0.052313417196273804,1.0,7,100.0,83.18181818,235.0,LIKELY_SAME,True
Max Packet Length,7,0.03485185652971268,1.0,12,100.0,976.0,1810.0,LIKELY_SAME,True
Total Fwd Packets,8,0.02998185344040394,0.4822033898305085,49,0.0,19.0,14.0,LIKELY_SAME,False
Total Length of Fwd Packets,9,0.020141461864113808,1.0,1,100.0,2008.0,3389.0,LIKELY_SAME,True
Total Backward Packets,10,0.019553449004888535,0.5169491525423728,46,0.0,31.0,14.0,LIKELY_SAME,True
Fwd Packet Length Max,11,0.0177464559674263,1.0,2,100.0,640.0,1810.0,LIKELY_SAME,True
Bwd Packets/s,12,0.015939507633447647,0.5186440677966102,43,0.0,2.9648755615000004,7.0202575151218225,POSSIBLE_IMPLEMENTATION_DIFFERENCE,True
FIN Flag Count,13,0.012736480683088303,,60,100.0,0.0,2.0,POSSIBLE_IMPLEMENTATION_DIFFERENCE,False
Fwd Packet Length Min,14,0.01265924796462059,1.0,3,100.0,0.0,66.0,LIKELY_SAME,True
