feature,canon_n,canon_mean,canon_std,canon_p01,canon_p25,canon_median,canon_p75,canon_p99,canon_min,canon_max,canon_zero_fraction,lab_n,lab_mean,lab_std,lab_p01,lab_p25,lab_median,lab_p75,lab_p99,lab_min,lab_max,lab_zero_fraction,ks_statistic,abs_standardized_diff,median_diff,median_ratio,pct_lab_outside_canon_iqr,pct_lab_outside_canon_p01_p99,canon_constant,lab_constant
Flow Duration,1180,6451512.9940677965,6996100.054765009,33.0,76.0,10608658.0,12203052.25,14178821.730000002,18.0,119816717.0,0.0,69,1.960015915442204,0.5194783574931562,0.12563232421875,1.8326992988586426,2.0230398178100586,2.2522735595703125,2.6739260673522947,0.11590290069580078,2.7161295413970947,0.0,1.0,1.3041286332006687,-10608655.976960182,1.9069705308721034e-07,100.0,100.0,False,False
Total Length of Fwd Packets,1180,1042.6440677966102,1005.5267236410649,0.0,0.0,2008.0,2008.0,2024.0,0.0,2824.0,0.4754237288135593,69,3448.449275362319,142.3129370953052,3389.0,3389.0,3389.0,3455.0,4024.68,3389.0,4041.0,0.0,1.0,3.3502341922034504,1381.0,1.6877490039840637,100.0,100.0,False,False
Fwd Packet Length Max,1180,332.09491525423726,319.65530875432574,0.0,0.0,640.0,640.0,640.0,0.0,664.0,0.4754237288135593,69,1801.4202898550725,49.65866265544793,1514.0,1810.0,1810.0,1810.0,1810.0,1514.0,1810.0,0.0,1.0,6.423514363007522,1170.0,2.828125,100.0,100.0,False,False
Fwd Packet Length Min,1180,0.020338983050847456,0.698370903595501,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.9991525423728813,69,66.0,0.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.0,1.0,133.6099928713439,66.0,,100.0,100.0,False,True
Fwd Packet Length Mean,1180,49.475484087762716,47.6886460484803,0.0,0.0,87.30434783,95.61904762,105.6842105,0.0,116.173913,0.4754237288135593,69,235.75236687733832,9.910062907820391,201.666,230.33333333333334,242.07142857142858,242.07142857142858,242.07142857142858,200.85,242.07142857142858,0.0,1.0,5.408520860633582,154.76708074142857,2.772730506420972,100.0,100.0,False,False
Fwd Packet Length Std,1180,72.66100611122882,69.90986009670111,0.0,0.0,136.3399611,140.0451628,143.7671932,0.0,183.2985515,0.47627118644067795,69,436.254779771805,20.027639474684094,361.89495099483713,433.7230555191745,446.6383107305563,446.6383107305563,446.6383107305563,361.89495099483713,446.6383107305563,0.0,1.0,7.07074851867488,310.29834963055634,3.27591637203831,100.0,100.0,False,False
Bwd Packet Length Max,1180,506.1966101694915,487.66062315747774,0.0,0.0,976.0,976.0,976.0,0.0,976.0,0.48135593220338985,69,1042.0,0.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,1042.0,0.0,1.0,1.5538273641156592,66.0,1.0676229508196722,100.0,100.0,False,True
Bwd Packet Length Mean,1180,44.648000652483056,43.16469607610004,0.0,0.0,83.18181818,85.78125,88.5483871,0.0,182.6363636,0.48135593220338985,69,233.38141517476558,4.98760957023192,215.52941176470588,235.0,235.0,235.0,235.0,215.52941176470588,235.0,0.0,1.0,6.142640048904588,151.81818182,2.8251366120836097,100.0,100.0,False,False
Flow IAT Mean,1180,124996.12347133874,160586.07563703766,33.0,76.0,203515.77565,234288.406025,271443.01593600004,18.0,3865055.387,0.0,69,0.07146160825360634,0.019410228217161127,0.003560059320359003,0.06776493787765503,0.07386032740275066,0.08171191921940556,0.09903429879082572,0.0032195250193277993,0.10059739042211462,0.0,1.0,1.1007872961214684,-203515.7017896726,3.629218775146616e-07,100.0,100.0,False,False
Flow IAT Max,1180,1330462.386440678,3520885.07189086,33.0,76.0,2021102.5,2391788.0,2840251.05,18.0,115000000.0,0.0,69,1.8108238275500312,0.5077597169288997,0.03352532386779785,1.6804296970367432,1.900693416595459,2.0684072971343994,2.5135762596130364,0.03319215774536133,2.5666158199310303,0.0,1.0,0.5343984117123064,-2021100.5993065834,9.404240589457779e-07,100.0,100.0,False,False
Flow IAT Min,1180,69.83305084745763,1086.0131183896542,1.0,3.0,20.5,74.0,116.63000000000011,1.0,37337.0,0.0,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09093706690836724,-20.5,0.0,100.0,100.0,False,True
Fwd PSH Flags,1180,0.00423728813559322,0.06495639710489784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9957627118644068,69,8.27536231884058,1.1149063517053277,8.0,8.0,8.0,8.0,13.0,8.0,13.0,0.0,1.0,10.473825903389926,8.0,,100.0,100.0,False,False
Max Packet Length,1180,506.33898305084745,487.51629995068873,0.0,0.0,976.0,976.0,976.0,0.0,976.0,0.4754237288135593,69,1801.4202898550725,49.65866265544793,1514.0,1810.0,1810.0,1810.0,1810.0,1514.0,1810.0,0.0,1.0,3.73750235114687,834.0,1.8545081967213115,100.0,100.0,False,False
Packet Length Mean,1180,45.68416288163475,43.968266676957235,0.0,0.0,84.790948275,88.01851852,93.19607843,0.0,125.48,0.4754237288135593,69,234.4992046019032,7.057866090447876,208.0356756756757,232.58620689655172,238.53571428571428,238.53571428571428,238.53571428571428,207.59459459459458,238.53571428571428,0.0,1.0,5.996361763713973,153.74476601071427,2.813221448026249,100.0,100.0,False,False
Packet Length Std,1180,98.4534166027644,94.78114824927965,0.0,0.0,186.15726935,189.5902723,193.9302988,0.0,273.1972913,0.4754237288135593,69,378.5051423075217,12.742014451881083,333.4029077391031,378.9784378582433,384.3534907703414,384.3534907703414,384.3534907703414,333.4029077391031,384.3534907703414,0.0,1.0,4.141348776843434,198.1962214203414,2.0646708673390917,100.0,100.0,False,False
