true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453705,151,8,6,175,10,3,0,0,0,196,0,1,1,9
Bot,23,368,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,6,0,25595,0,4,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,4,0,0,2047,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,13,0,0,5,46007,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,4,0,0,1,0,1092,3,0,0,0,0,0,0,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,1586,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,9,0,0,0,6,0,0,0,0,0,31743,0,3,0,0
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,4,0,0,0,1,0,0,0,0,0,0,0,205,2,89
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,64,1,63
