true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453717,143,7,8,182,8,3,0,0,1,196,0,0,0,0
Bot,23,368,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,6,0,25594,0,5,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,3,0,0,2048,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,14,0,0,5,46006,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,4,0,0,1,0,1092,3,0,0,0,0,0,0,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,1,0,0,0,0,0,0,1586,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,9,0,0,0,6,0,1,0,0,0,31745,0,0,0,0
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,1180,0,0,0
Web Attack - Brute Force,290,0,0,0,1,3,4,0,0,0,3,0,0,0,0
Web Attack - Sql Injection,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,125,0,0,0,0,1,3,0,0,0,1,0,0,0,0
