true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453978,32,0,1,56,6,0,0,0,1,191,0,0,0,0
Bot,96,295,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,9505,0,0,0,4260,0,0,0,0,0,11840,0,0,0,0
DoS GoldenEye,6,0,0,2045,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,58,0,0,5,45962,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,5,0,0,0,0,1091,3,0,0,0,0,0,1,0,0
DoS slowloris,1,0,0,0,0,2,1156,0,0,0,0,0,0,0,0
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,114,0,0,0,6,0,0,0,0,0,31638,0,3,0,0
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,5,0,0,0,1,0,0,0,0,0,0,0,237,0,58
Web Attack - Sql Injection,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Web Attack - XSS,4,0,0,0,0,0,0,0,0,0,0,0,83,0,43
