true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453972,35,0,1,58,6,0,0,0,1,191,0,0,0,1
Bot,97,294,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,10,0,25593,0,2,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,6,0,0,2045,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,56,0,0,5,45964,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,5,0,0,0,0,1092,3,0,0,0,0,0,0,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,118,0,0,0,7,0,0,0,0,0,31633,0,3,0,0
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,4,0,0,0,1,0,0,0,0,0,0,0,236,0,60
Web Attack - Sql Injection,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Web Attack - XSS,4,0,0,0,0,0,0,0,0,0,0,0,83,0,43
