true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,453974,34,1,2,56,6,0,0,0,1,191,0,0,0,0
Bot,98,293,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,11,0,25592,0,2,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,6,0,0,2045,5,3,0,0,0,0,0,0,0,0,0
DoS Hulk,54,0,0,5,45966,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,5,0,0,0,0,1092,3,0,0,0,0,0,0,0,0
DoS slowloris,1,0,0,0,0,1,1157,0,0,0,0,0,0,0,0
FTP-Patator,2,0,0,0,0,0,0,1585,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,117,0,0,0,7,0,1,0,0,0,31636,0,0,0,0
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,285,0,0,0,2,0,4,0,0,0,10,0,0,0,0
Web Attack - Sql Injection,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,119,0,0,0,0,1,1,0,0,0,9,0,0,0,0
