true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,454054,16,1,0,0,0,0,0,0,0,193,0,0,0,1
Bot,91,300,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,6,0,25599,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,1988,0,0,0,0,0,0,0,0,0,9,0,0,42,20
DoS Hulk,45192,0,42,0,0,0,0,0,0,0,623,0,2,150,16
DoS Slowhttptest,1093,0,0,0,0,0,0,0,0,0,0,0,5,0,2
DoS slowloris,1137,0,0,0,0,0,0,0,0,0,1,0,20,0,1
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,4,0,0,0,0,0,0,0,0,0,31755,0,2,0,0
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,266,1,32
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,98,1,29
