true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,454172,29,0,1,54,8,0,0,0,0,0,0,1,0,0
Bot,82,309,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,5,0,25600,0,0,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,2,0,0,2052,3,2,0,0,0,0,0,0,0,0,0
DoS Hulk,5,0,0,7,46013,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,3,0,0,0,0,1091,3,0,0,0,0,0,2,0,1
DoS slowloris,0,0,0,0,0,1,1157,0,0,0,0,0,0,0,1
FTP-Patator,1,0,0,0,0,0,0,1585,0,0,0,0,0,0,1
Heartbleed,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Infiltration,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
PortScan,31684,0,3,0,28,0,0,6,0,0,0,32,1,0,7
SSH-Patator,1,0,0,0,0,0,0,0,0,0,0,1179,0,0,0
Web Attack - Brute Force,2,0,0,0,0,0,0,0,0,0,0,0,264,0,35
Web Attack - Sql Injection,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Web Attack - XSS,2,0,0,0,0,0,0,0,0,0,0,0,92,0,36
