true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,276549,799,0,2,31,12,0,0,0,0,0,0,2,0,12
Bot,3,426,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,50173,0,0,0,77852,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Hulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS slowloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,158655,0,0,0,141,0,0,0,0,0,0,0,6,0,2
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
