true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,276259,804,0,6,144,16,1,0,0,1,0,0,3,3,170
Bot,3,426,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,47023,0,0,0,81002,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Hulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS slowloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,158652,0,0,0,141,0,0,0,0,0,0,0,5,3,3
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
