true\predicted,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - Sql Injection,Web Attack - XSS
BENIGN,276530,836,0,0,23,10,3,0,0,0,0,0,5,0,0
Bot,2,427,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS,48635,0,0,2,79388,0,0,0,0,0,0,0,0,0,0
DoS GoldenEye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Hulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS Slowhttptest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS slowloris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FTP-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartbleed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infiltration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortScan,158230,0,0,28,116,0,2,116,0,0,0,197,4,0,111
SSH-Patator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Brute Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - Sql Injection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Web Attack - XSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
